cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation,neighbortype,exactmass,canonicalsmiles,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt
12360903,83,2,180.162648646,CC(C12CC3CC(C1)CC(C3)C2)NC=O,180.162648646,0,1,0,2,0,2,0,0,0
12910657,90,1,201.1284273,C=C(C[N+]12CN3CN(C1)CN(C3)C2)Cl,201.1284273,0,2,0,2,0,2,0,0,0
13468455,92,2,196.09218630,C1CN1C23CC4CC(C2)CC(C4)C3,196.09218630,0,1,0,0,0,0,0,0,0
14242275,91,2,180.151415257,C1N2CN3CN(S2(=O)=O)CN1S3(=O)=O,180.151415257,0,1,0,0,0,0,0,0,0
15188794,83,2,206.130679813,C1C2CC3CC1CC(C2)C3O,206.130679813,0,1,0,3,0,3,0,0,0
15305078,81,2,207.162314293,C1C2CC3CC1CC(C2)(C3)N.Cl,207.162314293,0,1,0,0,0,0,0,0,0
15564742,82,2,268.000860,C1C2CC3CC1CC(C2)C3=O,268.000860,0,1,0,0,0,0,0,0,0
15594872,85,2,228.06425748,C1C2CC3CC1CC(C2)(C3)O,228.06425748,0,1,0,0,0,0,0,0,0
15651201,87,2,142.110613074,CC(=O)NC12CC3CC(C1)CC(C3)C2,142.110613074,0,1,0,2,0,2,0,0,0
15686617,91,2,166.110613074,C1C2CC3CC1CC(C2)(C3)Cl,166.110613074,0,1,0,2,0,2,0,0,0
15853037,88,2,193.146664230,C1C2CC3CC1CC(C2)C3=NO,193.146664230,0,1,0,0,0,0,0,0,0
17792855,85,2,208.146329876,CC[N+]12CN3CN(C1)CN(C3)C2,208.146329876,0,1,0,2,0,2,0,0,0
17851681,86,2,193.146664230,C1C2CC3CC1CC(C2)(C3)NC(=O)CCl,193.146664230,0,1,0,0,0,0,0,0,0
18381201,90,2,178.135765193,C1C2CC3CC1CC(C2)(C3)C(=O)C=[N+]=[N-],178.135765193,0,1,0,3,0,3,0,0,0
18410488,85,2,206.141913202,C1N2CN3CN1CN(C2)S3(=O)=O,206.141913202,0,1,0,2,0,2,0,0,0
18410513,80,2,222.173213330,C1C2CC3CC1CC(C2)(C3)NC(=O)N,222.173213330,0,1,0,2,0,2,0,0,0
18411808,84,2,199.0763918,C1C2CC3CC(C2)(CC1C3=O)O,199.0763918,0,1,0,2,0,2,0,0,0
19708696,95,2,153.115364102,C1C2CC3CC1CC(C2)(C3)N=O,153.115364102,0,1,0,2,0,2,0,0,0
20074766,97,2,164.120115130,C1C2CC3CC1CC(C2)(C3)CCN,164.120115130,0,1,0,2,0,2,0,0,0
21039869,95,2,182.130679813,C1C2CC3CC1CC(C2)(C3=O)CC(=O)N,182.130679813,0,1,0,2,0,2,0,0,0
21427935,95,3,169.126677677,C1C2CC3CC1CC(C2)(C3)CCCO,169.126677677,0,1,0,3,0,3,0,0,0
22034572,83,2,222.161979940,CCC12CC3CC(C1)CC(C3)(C2)N,222.161979940,0,1,0,2,0,2,0,0,0
22267001,84,2,176.120115130,C1C2CC3CC1CC(C2)C34N=N4,176.120115130,0,1,0,0,0,0,0,0,0
22463514,91,2,195.162314293,C1C2CC3(CC1CC(C2)(C3)Br)C(=O)N,195.162314293,0,1,0,4,0,4,0,0,0
22463553,81,2,224.14124450,C1C2CC3CC1CC(C2)C3CCN,224.14124450,0,1,0,2,0,2,0,0,0
22484486,89,2,153.151749610,C1C2CN3CN(S2(=O)=O)CN1S3(=O)=O,153.151749610,0,1,0,0,0,0,0,0,0
22602603,82,2,206.167065321,C1C2CC3CC1CC(C2)(C3)OC(=O)F,206.167065321,0,1,0,1,0,1,0,0,0
22603446,84,2,224.14124450,C1C2CC3CC1CC(C2)(C3)CO,224.14124450,0,1,0,3,0,3,0,0,0
22670630,80,2,208.182715385,C1C2CC3CC1CC(C2)C34COO4,208.182715385,0,1,0,0,0,0,0,0,0
23001063,83,2,290.05315,C1C2CC3CC1CC(C2)(C3)Br,290.05315,0,1,0,1,0,1,0,0,0
