molecule_chembl_id,canonical_smiles,standard_value
CHEMBL407253,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)[C@H]1C[C@@H](C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]2NC(C)=O)C[C@@H](C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]2NC(C)=O)C1)[C@H](O)CO,0.0003
CHEMBL413377,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)c1cc(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O)cc(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]2NC(C)=O)c1)[C@H](O)CO,0.00082
CHEMBL418434,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCN)[C@H](O)CO,0.438
CHEMBL325196,CC1(C)C[C@@H](O)C[C@](C)(C/N=C(\S)c2cccc(C#N)c2)C1,2.5
CHEMBL604208,C#C[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.38
CHEMBL8771,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,20.0
CHEMBL610322,O=c1ccc2nnn3c2n1C1O[C@H](C3)[C@@H](O)[C@H]1O,100000.0
CHEMBL364315,CC(=O)NC1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCCCCCCCNC(=O)O[C@H](C(O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)C1NC(C)=O)C(O)CO,1E-7
CHEMBL373352,COC(=O)C1=C[C@H](N=C(N)N)C(NC(C)=O)[C@H]([C@H](OC(=O)NCc2ccc(-c3ccc(CNC(=O)O[C@H](C(O)CO)[C@@H]4OC(C(=O)O)=C[C@H](N=C(N)N)C4NC(C)=O)cc3)cc2)C(O)CO)O1,0.0037
CHEMBL218567,COC(=O)C1=C[C@H](N=C(N)N)C(NC(C)=O)[C@H]([C@H](OC(=O)NCCCNC(=O)c2ccc(C(=O)NCCCNC(=O)O[C@H](C(O)CO)[C@@H]3OC(C(=O)O)=C[C@H](N=C(N)N)C3NC(C)=O)cc2)C(O)CO)O1,0.000009
CHEMBL193303,CC(=O)NC1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)C(O)CO,0.035
CHEMBL221722,NC(=O)c1nc(F)cnc1O,4500.0
CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,140.0
CHEMBL1161992,NCC(N)C12CC3CC(CC(C3)C1)C2.O=C(O)/C=C\C(=O)O,18300.0
CHEMBL535397,C1CCC(C23CC4CC(CC(C4)C2)C3)NC1.Cl,70500.0
CHEMBL538581,C1CNC(C23CC4CC(CC(C4)C2)C3)C1.Cl,51300.0
CHEMBL535396,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,19100.0
CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,49100.0
CHEMBL1161996,CN1CCN(C)C(C23CC4CC(CC(C4)C2)C3)C1.O=C(O)/C=C\C(=O)O,351000.0
CHEMBL1161995,CN1CCNCC1C12CC3CC(CC(C3)C1)C2.O=C(O)/C=C\C(=O)O,197000.0
CHEMBL1161994,C1CNC(C23CC4CC(CC(C4)C2)C3)CN1.O=C(O)/C=C\C(=O)O,24100.0
CHEMBL234973,CN1CC(=O)NCC1C12CC3CC(CC(C3)C1)C2,604000.0
CHEMBL232673,O=C1CNC(C23CC4CC(CC(C4)C2)C3)CN1,91800.0
CHEMBL398055,CN1CC(C23CC4CC(CC(C4)C2)C3)N(C)C1=O,107000.0
CHEMBL232481,CN1C(=O)NCC1C12CC3CC(CC(C3)C1)C2,269000.0
CHEMBL233117,O=C1NCC(C23CC4CC(CC(C4)C2)C3)N1,72600.0
CHEMBL1161993,CNC(CN)C12CC3CC(CC(C3)C1)C2.O=C(O)/C=C\C(=O)O,56800.0
CHEMBL558577,C1CC2(CCN1)C1CC3CC(C1)CC2C3.Cl,160.0
CHEMBL245898,C1C2CC3CC1CC(C2)C31CN1,5000.0
CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,362.0
CHEMBL394461,C1C2CC3CC1CC(C2)C31CNC1,330.0
CHEMBL396099,CN1CCC12C1CC3CC(C1)CC2C3,590.0
CHEMBL247099,C1CC2(N1)C1CC3CC(C1)CC2C3,360.0
CHEMBL246897,CN1CC12C1CC3CC(C1)CC2C3,4500.0
CHEMBL536996,CN1CCC2(CC1)C1CC3CC(C1)CC2C3.Cl,4300.0
